domain,keyword_combinations,predefined_title,predefined_answer,severity_tier,action_url
psychology,cramming for this competitive quiz ranking is causing heavy cognitive overload or i am hitting a total wall with my thesis and my mind is blanking out completely or i am obsessed with my cgpa calculation and perfectionist expectations are killing me,Performance Anxiety Regulation (Ref: P-865),"-> Clinical Insight: Tying personal human value to numerical GPA metrics triggers severe evolutionary threat responses.
-> Psychological Exercise: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.
-> Actionable Next Step: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.",1,https://university.edu/support/psychology
mental_health,i feel completely numb isolated from everyone and i keep crying for no reason or i feel completely exhausted tired and drained from chronic burnout and fatigue or brain fog is making it impossible to stay awake and i have zero energy left,Severe Overwhelm Crisis Stabilization (Ref: P-866),"-> Clinical Insight: A nervous breakdown or feeling of collapse is your sympathetic nervous system firing an emergency shut-down signal due to prolonged, unmanaged hyper-arousal.
-> Psychological Exercise: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.
-> Actionable Next Step: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.",1,https://university.edu/support/mental_health
relationships,i feel rejected by my close friends group and the distance is making me sad or the loneliness is driving me to a complete breakdown and i feel totally abandoned or caught in a codependent relationship cycle that is destroying my individual independence,Interpersonal Conflict Resolution (Ref: P-867),"-> Clinical Insight: Situational loneliness in college ecosystems is a natural transitional phase, not a permanent reflection of your sociability.
-> Psychological Exercise: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.
-> Actionable Next Step: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'",2,https://university.edu/support/relationships
psychology,i am having a complete nervous breakdown over school work or scared of freezing up during my university examinations and ruining my career scores or i cannot focus on my studies because i feel like an academic imposter who will fail,Cognitive Overload Management (Ref: P-868),"-> Clinical Insight: Tying personal human value to numerical GPA metrics triggers severe evolutionary threat responses.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.",2,https://university.edu/support/psychology
mental_health,everything is spinning and i feel completely detached from my physical body or i feel completely numb isolated from everyone and i keep crying for no reason or i feel completely exhausted tired and drained from chronic burnout and fatigue,Chronic Burnout Energy Balancing (Ref: P-869),"-> Clinical Insight: A nervous breakdown or feeling of collapse is your sympathetic nervous system firing an emergency shut-down signal due to prolonged, unmanaged hyper-arousal.
-> Psychological Exercise: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.
-> Actionable Next Step: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.",1,https://university.edu/support/mental_health
relationships,misunderstanding with a friend has created a massive emotional distance between us or i feel rejected by my close friends group and the distance is making me sad or i just went through a terrible breakup and i feel completely lonely and isolated,Relational Attachment Anxiety Management (Ref: P-870),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.
-> Actionable Next Step: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'",1,https://university.edu/support/relationships
psychology,scared of freezing up during my university examinations and ruining my career scores or i feel like i am about to collapse from academic stress or cramming for this competitive quiz ranking is causing heavy cognitive overload,GPA Evaluation Threat Reframe (Ref: P-871),"-> Clinical Insight: Tying personal human value to numerical GPA metrics triggers severe evolutionary threat responses.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.",2,https://university.edu/support/psychology
mental_health,i am having a severe nervous breakdown and mental collapse right now or everything is spinning and i feel completely detached from my physical body or having an acute panic attack and my heart is racing so fast it scares me,Somatic Hyper-Arousal Mitigation (Ref: P-872),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.
-> Actionable Next Step: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.",2,https://university.edu/support/mental_health
relationships,dealing with extreme family friction and my parents are constantly judging me or the loneliness is driving me to a complete breakdown and i feel totally abandoned or misunderstanding with a friend has created a massive emotional distance between us,Relational Rejection Processing (Ref: P-873),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.
-> Actionable Next Step: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'",2,https://university.edu/support/relationships
psychology,i cannot focus on my studies because i feel like an academic imposter who will fail or this massive assignment deadline is giving me severe test anxiety and task paralysis or i am hitting a total wall with my thesis and my mind is blanking out completely,Cognitive Overload Management (Ref: P-874),"-> Clinical Insight: Perceived academic failure activates catastrophic thinking loops regarding long-term career viability.
-> Psychological Exercise: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.
-> Actionable Next Step: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.",1,https://university.edu/support/psychology
mental_health,i am physically collapsing from stress and i cannot cope with reality anymore or i feel completely exhausted tired and drained from chronic burnout and fatigue or my chest is tight and i am hyperventilating shaking and panicking right now,Acute Panic Attack Somatic Override (Ref: P-875),"-> Clinical Insight: A nervous breakdown or feeling of collapse is your sympathetic nervous system firing an emergency shut-down signal due to prolonged, unmanaged hyper-arousal.
-> Psychological Exercise: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.
-> Actionable Next Step: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.",2,https://university.edu/support/mental_health
relationships,i am feeling left out ghosted and rejected by someone i deeply care about or caught in a codependent relationship cycle that is destroying my individual independence or had a massive toxic fight and argument with my boyfriend and he is ghosting me,Relational Rejection Processing (Ref: P-876),"-> Clinical Insight: Situational loneliness in college ecosystems is a natural transitional phase, not a permanent reflection of your sociability.
-> Psychological Exercise: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.
-> Actionable Next Step: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'",1,https://university.edu/support/relationships
psychology,i cannot focus on my studies because i feel like an academic imposter who will fail or i am stressed about failing this final presentation and viva tomorrow or cramming for this competitive quiz ranking is causing heavy cognitive overload,Acute Academic Burnout Collapse (Ref: P-877),"-> Clinical Insight: Tying personal human value to numerical GPA metrics triggers severe evolutionary threat responses.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.",1,https://university.edu/support/psychology
mental_health,i feel completely exhausted tired and drained from chronic burnout and fatigue or i am physically collapsing from stress and i cannot cope with reality anymore or i am at my absolute breaking point and feel like i am losing my mind,Somatic Hyper-Arousal Mitigation (Ref: P-878),"-> Clinical Insight: A nervous breakdown or feeling of collapse is your sympathetic nervous system firing an emergency shut-down signal due to prolonged, unmanaged hyper-arousal.
-> Psychological Exercise: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.
-> Actionable Next Step: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.",2,https://university.edu/support/mental_health
relationships,i feel rejected by my close friends group and the distance is making me sad or dealing with extreme family friction and my parents are constantly judging me or the loneliness is driving me to a complete breakdown and i feel totally abandoned,Communication Disconnection Reframe (Ref: P-879),"-> Clinical Insight: Defensive posturing during an argument stems from an internal need to protect oneself from perceived emotional rejection.
-> Psychological Exercise: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.
-> Actionable Next Step: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'",2,https://university.edu/support/relationships
psychology,cramming for this competitive quiz ranking is causing heavy cognitive overload or i am hitting a total wall with my thesis and my mind is blanking out completely or this massive assignment deadline is giving me severe test anxiety and task paralysis,GPA Evaluation Threat Reframe (Ref: P-880),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.",1,https://university.edu/support/psychology
mental_health,i feel completely numb isolated from everyone and i keep crying for no reason or i feel completely exhausted tired and drained from chronic burnout and fatigue or everything is spinning and i feel completely detached from my physical body,Severe Overwhelm Crisis Stabilization (Ref: P-881),"-> Clinical Insight: Somatic hyper-arousal signals a false survival panic loop within your nervous pathways.
-> Psychological Exercise: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.
-> Actionable Next Step: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.",1,https://university.edu/support/mental_health
relationships,i feel rejected by my close friends group and the distance is making me sad or i am feeling left out ghosted and rejected by someone i deeply care about or dealing with extreme family friction and my parents are constantly judging me,Interpersonal Conflict Resolution (Ref: P-882),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.
-> Actionable Next Step: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.",1,https://university.edu/support/relationships
psychology,this massive assignment deadline is giving me severe test anxiety and task paralysis or i am having a complete nervous breakdown over school work or i am stressed about failing this final presentation and viva tomorrow,GPA Evaluation Threat Reframe (Ref: P-883),"-> Clinical Insight: Perceived academic failure activates catastrophic thinking loops regarding long-term career viability.
-> Psychological Exercise: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.
-> Actionable Next Step: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.",2,https://university.edu/support/psychology
mental_health,i cannot sleep at all because my mind is racing with bad nightmares and insomnia or brain fog is making it impossible to stay awake and i have zero energy left or everything is spinning and i feel completely detached from my physical body,Somatic Hyper-Arousal Mitigation (Ref: P-884),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.
-> Actionable Next Step: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.",1,https://university.edu/support/mental_health
relationships,i feel rejected by my close friends group and the distance is making me sad or i just went through a terrible breakup and i feel completely lonely and isolated or my girlfriend lied to me and i have severe trust issues and jealousy problems,Communication Disconnection Reframe (Ref: P-885),"-> Clinical Insight: Defensive posturing during an argument stems from an internal need to protect oneself from perceived emotional rejection.
-> Psychological Exercise: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.
-> Actionable Next Step: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.",1,https://university.edu/support/relationships
psychology,i am stressed about failing this final presentation and viva tomorrow or i am obsessed with my cgpa calculation and perfectionist expectations are killing me or i am having a complete nervous breakdown over school work,Performance Anxiety Regulation (Ref: P-886),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.
-> Actionable Next Step: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.",2,https://university.edu/support/psychology
mental_health,having an acute panic attack and my heart is racing so fast it scares me or i am having a severe nervous breakdown and mental collapse right now or brain fog is making it impossible to stay awake and i have zero energy left,Severe Overwhelm Crisis Stabilization (Ref: P-887),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.
-> Actionable Next Step: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.",2,https://university.edu/support/mental_health
relationships,i am feeling left out ghosted and rejected by someone i deeply care about or i just went through a terrible breakup and i feel completely lonely and isolated or misunderstanding with a friend has created a massive emotional distance between us,Relational Rejection Processing (Ref: P-888),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'
-> Actionable Next Step: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.",1,https://university.edu/support/relationships
psychology,i am stressed about failing this final presentation and viva tomorrow or i am completely panicking about my upcoming midterm exam or scared of freezing up during my university examinations and ruining my career scores,Acute Academic Burnout Collapse (Ref: P-889),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.",2,https://university.edu/support/psychology
mental_health,i cannot sleep at all because my mind is racing with bad nightmares and insomnia or i am having a severe nervous breakdown and mental collapse right now or i feel completely numb isolated from everyone and i keep crying for no reason,Acute Panic Attack Somatic Override (Ref: P-890),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.
-> Actionable Next Step: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.",2,https://university.edu/support/mental_health
relationships,had a massive toxic fight and argument with my boyfriend and he is ghosting me or i am feeling left out ghosted and rejected by someone i deeply care about or the loneliness is driving me to a complete breakdown and i feel totally abandoned,Relational Rejection Processing (Ref: P-891),"-> Clinical Insight: Situational loneliness in college ecosystems is a natural transitional phase, not a permanent reflection of your sociability.
-> Psychological Exercise: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'
-> Actionable Next Step: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.",2,https://university.edu/support/relationships
psychology,i am obsessed with my cgpa calculation and perfectionist expectations are killing me or i cannot focus on my studies because i feel like an academic imposter who will fail or this massive assignment deadline is giving me severe test anxiety and task paralysis,Performance Anxiety Regulation (Ref: P-892),"-> Clinical Insight: Perceived academic failure activates catastrophic thinking loops regarding long-term career viability.
-> Psychological Exercise: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.
-> Actionable Next Step: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.",1,https://university.edu/support/psychology
mental_health,i cannot sleep at all because my mind is racing with bad nightmares and insomnia or i feel deeply depressed sad unmotivated and empty inside my room or i feel completely exhausted tired and drained from chronic burnout and fatigue,Chronic Burnout Energy Balancing (Ref: P-893),"-> Clinical Insight: A nervous breakdown or feeling of collapse is your sympathetic nervous system firing an emergency shut-down signal due to prolonged, unmanaged hyper-arousal.
-> Psychological Exercise: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.
-> Actionable Next Step: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.",1,https://university.edu/support/mental_health
relationships,i just went through a terrible breakup and i feel completely lonely and isolated or dealing with extreme family friction and my parents are constantly judging me or had a massive toxic fight and argument with my boyfriend and he is ghosting me,Interpersonal Conflict Resolution (Ref: P-894),"-> Clinical Insight: Defensive posturing during an argument stems from an internal need to protect oneself from perceived emotional rejection.
-> Psychological Exercise: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'
-> Actionable Next Step: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.",1,https://university.edu/support/relationships
psychology,i am obsessed with my cgpa calculation and perfectionist expectations are killing me or i feel super anxious and overwhelmed by my poor grades and low gpa or i am having a complete nervous breakdown over school work,Performance Anxiety Regulation (Ref: P-895),"-> Clinical Insight: Perceived academic failure activates catastrophic thinking loops regarding long-term career viability.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.",2,https://university.edu/support/psychology
mental_health,i cannot sleep at all because my mind is racing with bad nightmares and insomnia or i feel completely numb isolated from everyone and i keep crying for no reason or i am having a severe nervous breakdown and mental collapse right now,Chronic Burnout Energy Balancing (Ref: P-896),"-> Clinical Insight: A nervous breakdown or feeling of collapse is your sympathetic nervous system firing an emergency shut-down signal due to prolonged, unmanaged hyper-arousal.
-> Psychological Exercise: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.
-> Actionable Next Step: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.",2,https://university.edu/support/mental_health
relationships,i feel rejected by my close friends group and the distance is making me sad or i am feeling left out ghosted and rejected by someone i deeply care about or i just went through a terrible breakup and i feel completely lonely and isolated,Interpersonal Conflict Resolution (Ref: P-897),"-> Clinical Insight: Defensive posturing during an argument stems from an internal need to protect oneself from perceived emotional rejection.
-> Psychological Exercise: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.
-> Actionable Next Step: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.",1,https://university.edu/support/relationships
psychology,cramming for this competitive quiz ranking is causing heavy cognitive overload or this massive assignment deadline is giving me severe test anxiety and task paralysis or i am obsessed with my cgpa calculation and perfectionist expectations are killing me,Cognitive Overload Management (Ref: P-898),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.
-> Actionable Next Step: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.",1,https://university.edu/support/psychology
mental_health,everything is spinning and i feel completely detached from my physical body or i am at my absolute breaking point and feel like i am losing my mind or i feel completely numb isolated from everyone and i keep crying for no reason,Somatic Hyper-Arousal Mitigation (Ref: P-899),"-> Clinical Insight: Somatic hyper-arousal signals a false survival panic loop within your nervous pathways.
-> Psychological Exercise: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.
-> Actionable Next Step: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.",2,https://university.edu/support/mental_health
relationships,caught in a codependent relationship cycle that is destroying my individual independence or i just went through a terrible breakup and i feel completely lonely and isolated or had a massive toxic fight and argument with my boyfriend and he is ghosting me,Relational Rejection Processing (Ref: P-900),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.
-> Actionable Next Step: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'",1,https://university.edu/support/relationships
psychology,i cannot focus on my studies because i feel like an academic imposter who will fail or i am hitting a total wall with my thesis and my mind is blanking out completely or i feel like i am about to collapse from academic stress,Academic Evaluation Anxiety (Ref: P-901),"-> Clinical Insight: Tying personal human value to numerical GPA metrics triggers severe evolutionary threat responses.
-> Psychological Exercise: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.
-> Actionable Next Step: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.",2,https://university.edu/support/psychology
mental_health,brain fog is making it impossible to stay awake and i have zero energy left or my chest is tight and i am hyperventilating shaking and panicking right now or i feel deeply depressed sad unmotivated and empty inside my room,Somatic Hyper-Arousal Mitigation (Ref: P-902),"-> Clinical Insight: A nervous breakdown or feeling of collapse is your sympathetic nervous system firing an emergency shut-down signal due to prolonged, unmanaged hyper-arousal.
-> Psychological Exercise: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.
-> Actionable Next Step: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.",2,https://university.edu/support/mental_health
relationships,misunderstanding with a friend has created a massive emotional distance between us or i just went through a terrible breakup and i feel completely lonely and isolated or had a massive toxic fight and argument with my boyfriend and he is ghosting me,Relational Rejection Processing (Ref: P-903),"-> Clinical Insight: Defensive posturing during an argument stems from an internal need to protect oneself from perceived emotional rejection.
-> Psychological Exercise: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.
-> Actionable Next Step: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'",1,https://university.edu/support/relationships
psychology,i am completely panicking about my upcoming midterm exam or scared of freezing up during my university examinations and ruining my career scores or i feel super anxious and overwhelmed by my poor grades and low gpa,Performance Anxiety Regulation (Ref: P-904),"-> Clinical Insight: Perceived academic failure activates catastrophic thinking loops regarding long-term career viability.
-> Psychological Exercise: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.
-> Actionable Next Step: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.",2,https://university.edu/support/psychology
mental_health,i feel completely numb isolated from everyone and i keep crying for no reason or i am having a severe nervous breakdown and mental collapse right now or my chest is tight and i am hyperventilating shaking and panicking right now,Nervous System De-escalation Protocol (Ref: P-905),"-> Clinical Insight: A nervous breakdown or feeling of collapse is your sympathetic nervous system firing an emergency shut-down signal due to prolonged, unmanaged hyper-arousal.
-> Psychological Exercise: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.
-> Actionable Next Step: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.",2,https://university.edu/support/mental_health
relationships,my girlfriend lied to me and i have severe trust issues and jealousy problems or i am feeling left out ghosted and rejected by someone i deeply care about or i feel rejected by my close friends group and the distance is making me sad,Relational Attachment Anxiety Management (Ref: P-906),"-> Clinical Insight: Situational loneliness in college ecosystems is a natural transitional phase, not a permanent reflection of your sociability.
-> Psychological Exercise: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.
-> Actionable Next Step: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.",1,https://university.edu/support/relationships
psychology,i cannot focus on my studies because i feel like an academic imposter who will fail or i feel like i am about to collapse from academic stress or this massive assignment deadline is giving me severe test anxiety and task paralysis,GPA Evaluation Threat Reframe (Ref: P-907),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.
-> Actionable Next Step: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.",2,https://university.edu/support/psychology
mental_health,i am at my absolute breaking point and feel like i am losing my mind or i cannot sleep at all because my mind is racing with bad nightmares and insomnia or i am physically collapsing from stress and i cannot cope with reality anymore,Acute Panic Attack Somatic Override (Ref: P-908),"-> Clinical Insight: A nervous breakdown or feeling of collapse is your sympathetic nervous system firing an emergency shut-down signal due to prolonged, unmanaged hyper-arousal.
-> Psychological Exercise: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.
-> Actionable Next Step: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.",2,https://university.edu/support/mental_health
relationships,i am feeling left out ghosted and rejected by someone i deeply care about or i feel rejected by my close friends group and the distance is making me sad or my girlfriend lied to me and i have severe trust issues and jealousy problems,Interpersonal Conflict Resolution (Ref: P-909),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'
-> Actionable Next Step: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.",1,https://university.edu/support/relationships
psychology,i cannot focus on my studies because i feel like an academic imposter who will fail or i feel like i am about to collapse from academic stress or i am completely panicking about my upcoming midterm exam,Cognitive Overload Management (Ref: P-910),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.
-> Actionable Next Step: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.",2,https://university.edu/support/psychology
mental_health,everything is spinning and i feel completely detached from my physical body or i cannot sleep at all because my mind is racing with bad nightmares and insomnia or i feel completely numb isolated from everyone and i keep crying for no reason,Acute Panic Attack Somatic Override (Ref: P-911),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.
-> Actionable Next Step: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.",1,https://university.edu/support/mental_health
relationships,i just went through a terrible breakup and i feel completely lonely and isolated or misunderstanding with a friend has created a massive emotional distance between us or caught in a codependent relationship cycle that is destroying my individual independence,Communication Disconnection Reframe (Ref: P-912),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.
-> Actionable Next Step: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.",1,https://university.edu/support/relationships
psychology,i am stressed about failing this final presentation and viva tomorrow or this massive assignment deadline is giving me severe test anxiety and task paralysis or scared of freezing up during my university examinations and ruining my career scores,GPA Evaluation Threat Reframe (Ref: P-913),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.",1,https://university.edu/support/psychology
